source,target,sign
Spain,Sweden,1
Turkey,Sweden,-1
United kingdom,Sweden,1
Austria,Turkey,1
Belgium,Turkey,1
Bosnia and Herzegovina,Turkey,1
Croatia,Turkey,1
Cyprus,Turkey,1
Estonia,Turkey,-1
France,Turkey,1
Germany,Turkey,1
Iceland,Turkey,-1
Ireland,Turkey,-1
Latvia,Turkey,-1
Netherlands,Turkey,1
Norway,Turkey,1
Poland,Turkey,-1
Portugal,Turkey,1
Romania,Turkey,1
Russia,Turkey,-1
Slovenia,Turkey,1
Spain,Turkey,-1
Ukraine,Turkey,-1
Austria,Ukraine,-1
Belgium,Ukraine,-1
Bosnia and Herzegovina,Ukraine,-1
Croatia,Ukraine,-1
Cyprus,Ukraine,-1
Estonia,Ukraine,1
France,Ukraine,-1
Germany,Ukraine,-1
Greece,Ukraine,-1
Iceland,Ukraine,-1
Ireland,Ukraine,-1
Israel,Ukraine,1
Latvia,Ukraine,1
Malta,Ukraine,-1
Netherlands,Ukraine,-1
Norway,Ukraine,-1
Poland,Ukraine,1
Portugal,Ukraine,-1
Romania,Ukraine,-1
Russia,Ukraine,1
Slovenia,Ukraine,-1
Spain,Ukraine,-1
Sweden,Ukraine,-1
Turkey,Ukraine,-1
United kingdom,Ukraine,-1
